match_id,name,backfill,role,character_sequence,ultimates_used,eliminations,assists,deaths,damage,healing,mitigation,afilliation,first_pick,second_pick,third_pick,fourth_pick
16,AndyIsMad,No,Damage,Widowmaker,1,10,0,2,2215,0,0,Opponent,Widowmaker,,,
16,Rynetime,No,Support,Zenyatta,1,10,25,1,1770,2439,0,Opponent,Zenyatta,,,
17,lucioos,No,Tank,"Orisa, Winston",3,32,4,5,8230,0,18414,Friendly,Orisa,Winston,,
17,Lblair,No,Damage,"Junkrat, Hanzo",5,33,11,8,14029,0,0,Friendly,Junkrat,Hanzo,,
17,SwankyOrc,No,Damage,"Soldier: 76, Symmetra, Pharah",3,32,8,10,11219,1044,1830,Friendly,Soldier: 76,Symmetra,Pharah,
17,Twiddly,No,Support,"Zenyatta, Brigitte",3,16,23,4,5351,9477,2159,Friendly,Zenyatta,Brigitte,,
17,Wet,No,Support,"Ana, Illari",5,17,19,7,4624,13002,732,Friendly,Ana,Illari,,
17,IMGIXBTW,No,Damage,"Genji, Symmetra",3,16,0,13,2832,136,5011,Opponent,Genji,Symmetra,,
17,HelloIntrnet,No,Support,"Ana, Lucio",2,10,13,16,2907,7649,413,Opponent,Ana,Lucio,,
17,Rize,No,Damage,"Bastion, Soldier: 76",3,17,2,9,9903,443,727,Opponent,Bastion,Soldier: 76,,
17,Green,No,Tank,"Orisa, Junkerqueen",4,23,5,8,10627,732,6860,Opponent,Orisa,Junkerqueen,,
17,Alunalu,No,Support,Kiriko,4,7,19,9,2688,13704,0,Opponent,Kiriko,,,
18,lucioos,No,Tank,"Ramattra, Dva, Winston",3,12,3,6,6941,15,6884,Friendly,Ramattra,Dva,Winston,
18,GignerdLight,No,Damage,"Cassidy, Symmetra",2,8,5,12,6786,6,135,Friendly,Cassidy,Symmetra,,
18,Will,No,Damage,"Tracer, Soldier: 76",2,9,0,10,9372,123,0,Friendly,Tracer,Soldier: 76,,
18,CBF,No,Support,"Brigitte, Ana, Baptitse",2,7,5,10,3473,5447,1594,Friendly,Brigitte,Ana,Baptitse,
18,LaveUgle,Yes,Support,Illari,2,3,3,2,1222,1382,0,Friendly,Illari,,,
18,Pericov,No,Tank,Doomfist,3,27,9,3,8785,0,4674,Opponent,Doomfist,,,
18,Milk,No,Damage,"Junkrat, Sombra",4,22,5,3,7140,1186,0,Opponent,Junkrat,Sombra,,
18,Peach,No,Damage,"Genji, Pharah, Soldier: 76",3,29,1,8,9864,82,142,Opponent,Genji,Pharah,Soldier: 76,
18,JujuBuju,No,Support,Mercy,4,1,24,4,557,7783,0,Opponent,Mercy,,,
18,Bxld,No,Support,Lifeweaver,2,6,19,1,1278,8965,368,Opponent,Lifeweaver,,,
19,lucioos,No,Tank,"Junkerqueen, Winston",3,16,6,5,6655,756,10361,Friendly,Junkerqueen,Winston,,
19,Lysar2,No,Damage,Junkrat,3,11,1,7,8597,0,0,Friendly,Junkrat,,,
19,Seabear,No,Damage,Widowmaker,1,14,2,6,5105,0,0,Friendly,Widowmaker,,,
19,Murph,No,Support,Mercy,4,0,14,4,80,8713,0,Friendly,Mercy,,,
19,Xmrpurplex,No,Support,Ana,3,6,11,4,1774,6710,530,Friendly,Ana,,,
19,Chector21,No,Damage,"Genji, Echo",2,10,0,9,4555,0,2493,Opponent,Genji,Echo,,
19,Suffragette,No,Damage,Soldier: 76,3,19,1,2,9067,1477,0,Opponent,Soldier: 76,,,
19,Chexlemeneux,No,Support,Zenyatta,2,7,16,4,4322,5215,0,Opponent,Zenyatta,,,
19,Hydro,No,Support,Ana,2,10,10,7,2431,4880,232,Opponent,Ana,,,
19,Pedrot60450,No,Tank,Doomfist,3,9,3,4,4457,0,4602,Opponent,Doomfist,,,
20,BrokenRecord,No,Tank,"Wrecking Ball, Junkerqueen, Ramattra",2,2,0,5,3292,108,1784,Friendly,Wrecking Ball,Junkerqueen,Ramattra,
20,AwkwardBandi,No,Damage,Junkrat,1,5,0,7,3848,0,0,Friendly,Junkrat,,,
20,Marrigold,No,Damage,"Sombra, Mei",1,8,0,5,2964,847,814,Friendly,Sombra,Mei,,
20,Alicelee,No,Support,"Kiriko, Ana",0,2,1,7,679,1406,0,Friendly,Kiriko,Ana,,
20,lucioos,Yes,Support,Brigitte,0,2,0,2,783,1642,380,Friendly,Brigitte,,,
20,Lelxd,No,Support,Moira,1,12,8,2,1734,2821,0,Opponent,Moira,,,
20,Jiggly,No,Support,Ana,2,13,13,0,2390,5109,526,Opponent,Ana,,,
20,TicoFactory,No,Tank,Winston,2,14,2,1,5130,0,3103,Opponent,Winston,,,
20,Droyd406,No,Damage,Genji,1,9,0,4,3422,0,0,Opponent,Genji,,,
20,Maplesyrup,No,Damage,Widowmaker,2,8,2,6,3377,0,0,Opponent,Widowmaker,,,
21,lucioos,No,Tank,"Orisa, Zarya, Junkerqueen, Winston",4,19,8,9,10481,593,7779,Friendly,Orisa,Zarya,Junkerqueen,Winston
21,CasualNerd,No,Damage,"Junkrat, Sojourn, Symmetra",4,28,5,12,9606,98,1872,Friendly,Junkrat,Sojourn,Symmetra,
21,CubedCake,No,Damage,"Echo, Mei, Reaper",3,29,2,5,10255,1712,1457,Friendly,Echo,Mei,Reaper,
21,Bawb,No,Support,"Ana, Moira",4,23,18,7,6269,8734,568,Friendly,Ana,Moira,,
21,Kaylotl,No,Support,Kiriko,3,11,31,6,1962,14835,0,Friendly,Kiriko,,,
21,Tauski,Yes,Damage,"Soldier:76, Pharah",2,10,1,5,4394,524,0,Opponent,Soldier:76,Pharah,,
21,Trinity,No,Tank,Reinhardt,4,22,2,9,9107,0,33234,Opponent,Reinhardt,,,
21,CamoDylan,No,Damage,Genji,3,18,0,11,6597,0,1250,Opponent,Genji,,,
21,Brex56,No,Support,Kiriko,4,16,19,9,4627,11780,0,Opponent,Kiriko,,,
21,KittyGrl,No,Support,Baptiste,5,16,15,6,8976,12287,1767,Opponent,Baptiste,,,
22,lucioos,No,Tank,"Ramattra, Winston",2,12,1,4,4831,212,9167,Friendly,Ramattra,Winston,,
22,Astro,No,Damage,"Cassidy, Hanzo",1,11,1,5,3982,0,96,Friendly,Cassidy,Hanzo,,
22,DanM,No,Damage,"Pharah, Soldier: 76",3,18,3,7,6910,569,0,Friendly,Pharah,Soldier: 76,,
22,Buzzahhh,No,Support,Illari,5,20,3,4,8110,6772,0,Friendly,Illari,,,
22,Mujitsu,No,Support,Mercy,3,0,22,5,0,7625,0,Friendly,Mercy,,,
22,Mel,No,Tank,Orisa,3,17,3,5,10260,0,6110,Opponent,Orisa,,,
22,Degausser,No,Damage,Soldier: 76,2,6,0,10,4666,367,40,Opponent,Soldier: 76,,,
22,XtremeRed,No,Support,Ana,2,8,16,5,1590,7886,388,Opponent,Ana,,,
22,CamoDylan,No,Damage,Pharah,2,13,0,8,4764,0,0,Opponent,Pharah,,,
22,Brex56,No,Support,Kiriko,3,10,7,5,2554,5330,0,Opponent,Kiriko,,,
23,SnivyFC,Yes,Tank,Winston,0,2,0,1,816,0,1132,Friendly,Winston,,,
23,lucioos,Yes,Damage,Echo,1,3,0,3,2808,0,35,Friendly,Echo,,,
23,McSpankyWank,No,Damage,Sombra,1,9,1,3,4817,1058,275,Friendly,Sombra,,,
23,MockBowl,No,Support,Lifeweaver,1,4,4,4,994,5414,0,Friendly,Lifeweaver,,,
23,SewerBuggg,Yes,Support,Illari,1,2,0,2,1339,2656,0,Friendly,Illari,,,
23,ImaSitOnYou,No,Damage,"Genji, Reaper, Symmetra",2,13,1,4,4351,411,161,Opponent,Genji,Reaper,Symmetra,
23,AkudaKatsu,No,Damage,Junkrat,1,12,1,2,5012,0,0,Opponent,Junkrat,,,
23,Three11,No,Support,Zenyatta,2,7,8,5,3391,4668,0,Opponent,Zenyatta,,,
23,Morbius,No,Tank,"Reinhardt, Doomfist",3,10,0,1,5725,0,4037,Opponent,Reinhardt,Doomfist,,
23,Kremit,No,Support,Moira,2,10,8,2,3077,6677,0,Opponent,Moira,,,
24,VictoryIsMyn,No,Tank,"Doomfist, Zarya, Winston",1,7,0,8,5337,0,3653,Friendly,Doomfist,Zarya,Winston,
24,JessePinkMan,No,Damage,"Cassidy, Mei, Symmetra, Bastion",3,6,2,7,5599,219,1379,Friendly,Cassidy,Mei,Symmetra,Bastion
